=== 系统日志记录开始于 2025/11/19 11:37:00 ===
[2025/11/19 14:49:56] 场景:Flat    | 视觉:53.1  | 车辆:12.0  | 预测:44.9
[2025/11/19 14:49:56] 场景:Flat    | 视觉:53.7  | 车辆:12.0  | 预测:45.4
[2025/11/19 14:49:56] 场景:Flat    | 视觉:54.3  | 车辆:12.0  | 预测:45.8
[2025/11/19 14:49:56] 场景:Flat    | 视觉:54.9  | 车辆:12.0  | 预测:46.3
[2025/11/19 14:49:57] 场景:Flat    | 视觉:55.5  | 车辆:12.0  | 预测:46.8
[2025/11/19 14:49:57] 场景:Flat    | 视觉:56.1  | 车辆:12.0  | 预测:47.3
[2025/11/19 14:49:57] 场景:Flat    | 视觉:56.7  | 车辆:12.0  | 预测:47.8
[2025/11/19 14:49:57] 场景:Flat    | 视觉:57.3  | 车辆:12.0  | 预测:48.2
[2025/11/19 14:49:57] 场景:Flat    | 视觉:56.7  | 车辆:12.0  | 预测:47.8
[2025/11/19 14:49:58] 场景:Flat    | 视觉:56.1  | 车辆:12.0  | 预测:47.3
[2025/11/19 14:49:58] 场景:Flat    | 视觉:55.5  | 车辆:12.0  | 预测:46.8
[2025/11/19 14:49:58] 场景:Flat    | 视觉:54.9  | 车辆:12.0  | 预测:46.3
[2025/11/19 14:49:58] 场景:Flat    | 视觉:54.3  | 车辆:12.0  | 预测:45.8
[2025/11/19 14:49:58] 场景:Flat    | 视觉:53.7  | 车辆:12.0  | 预测:45.4
[2025/11/19 14:49:58] 场景:Flat    | 视觉:53.1  | 车辆:12.0  | 预测:44.9
[2025/11/19 14:49:58] 场景:Flat    | 视觉:52.5  | 车辆:12.0  | 预测:44.4
[2025/11/19 14:49:58] 场景:Flat    | 视觉:51.9  | 车辆:12.0  | 预测:43.9
[2025/11/19 14:49:58] 场景:Flat    | 视觉:51.3  | 车辆:12.0  | 预测:43.4
[2025/11/19 14:49:58] 场景:Flat    | 视觉:50.7  | 车辆:12.0  | 预测:43.0
[2025/11/19 14:49:58] 场景:Flat    | 视觉:50.1  | 车辆:12.0  | 预测:42.5
[2025/11/19 14:49:58] 场景:Flat    | 视觉:49.5  | 车辆:12.0  | 预测:42.0
[2025/11/19 14:49:58] 场景:Flat    | 视觉:48.9  | 车辆:12.0  | 预测:41.5
[2025/11/19 14:49:58] 场景:Flat    | 视觉:48.3  | 车辆:12.0  | 预测:41.0
[2025/11/19 14:49:58] 场景:Flat    | 视觉:47.7  | 车辆:12.0  | 预测:40.6
[2025/11/19 14:49:59] 场景:Flat    | 视觉:47.1  | 车辆:12.0  | 预测:40.1
[2025/11/19 14:49:59] 场景:Flat    | 视觉:46.5  | 车辆:12.0  | 预测:39.6
[2025/11/19 14:49:59] 场景:Flat    | 视觉:45.9  | 车辆:12.0  | 预测:39.1
[2025/11/19 14:49:59] 场景:Flat    | 视觉:45.3  | 车辆:12.0  | 预测:38.6
[2025/11/19 14:49:59] 场景:Flat    | 视觉:45.9  | 车辆:12.0  | 预测:39.1
[2025/11/19 14:49:59] 场景:Flat    | 视觉:46.5  | 车辆:12.0  | 预测:39.6
[2025/11/19 14:49:59] 场景:Flat    | 视觉:47.1  | 车辆:12.0  | 预测:40.1
[2025/11/19 14:49:59] 场景:Flat    | 视觉:47.7  | 车辆:12.0  | 预测:40.6
[2025/11/19 14:49:59] 场景:Flat    | 视觉:49.5  | 车辆:12.0  | 预测:42.0
[2025/11/19 14:49:59] 场景:Flat    | 视觉:50.7  | 车辆:12.0  | 预测:43.0
[2025/11/19 14:49:59] 场景:Flat    | 视觉:51.9  | 车辆:12.0  | 预测:43.9
[2025/11/19 14:49:59] 场景:Flat    | 视觉:53.1  | 车辆:12.0  | 预测:44.9
[2025/11/19 14:49:59] 场景:Flat    | 视觉:53.7  | 车辆:12.0  | 预测:45.4
[2025/11/19 14:49:59] 场景:Flat    | 视觉:54.3  | 车辆:12.0  | 预测:45.8
[2025/11/19 14:49:59] 场景:Flat    | 视觉:54.9  | 车辆:12.0  | 预测:46.3
[2025/11/19 14:50:00] 场景:Flat    | 视觉:54.3  | 车辆:12.0  | 预测:45.8
[2025/11/19 14:50:00] 场景:Flat    | 视觉:53.1  | 车辆:12.0  | 预测:44.9
[2025/11/19 14:50:00] 场景:Flat    | 视觉:51.9  | 车辆:12.0  | 预测:43.9
[2025/11/19 14:50:00] 场景:Flat    | 视觉:51.3  | 车辆:12.0  | 预测:43.4
[2025/11/19 14:50:00] 场景:Flat    | 视觉:50.7  | 车辆:12.0  | 预测:43.0
[2025/11/19 14:50:00] 场景:Flat    | 视觉:50.1  | 车辆:12.0  | 预测:42.5
[2025/11/19 14:50:00] 场景:Flat    | 视觉:49.5  | 车辆:12.0  | 预测:42.0
[2025/11/19 14:50:00] 场景:Flat    | 视觉:48.3  | 车辆:12.0  | 预测:41.0
[2025/11/19 14:50:00] 场景:Flat    | 视觉:47.7  | 车辆:12.0  | 预测:40.6
[2025/11/19 14:50:00] 场景:Flat    | 视觉:47.1  | 车辆:12.0  | 预测:40.1
[2025/11/19 14:50:00] 场景:Flat    | 视觉:46.5  | 车辆:12.0  | 预测:39.6
[2025/11/19 14:50:00] 场景:Flat    | 视觉:45.9  | 车辆:12.0  | 预测:39.1
[2025/11/19 14:50:00] 场景:Flat    | 视觉:46.5  | 车辆:12.0  | 预测:39.6
